rank 0: start pid=196519 shape=baseline
rank 0: round 0 ok checksum=1017
rank 0: round 25 ok checksum=30667
rank 0: round 50 ok checksum=68442
rank 0: round 75 ok checksum=114342
rank 0: round 100 ok checksum=168367
rank 0: round 125 ok checksum=230517
rank 0: round 150 ok checksum=300792
rank 0: round 175 ok checksum=379192
rank 0: round 200 ok checksum=465717
rank 0: round 225 ok checksum=560367
rank 0: round 250 ok checksum=663142
rank 0: round 275 ok checksum=774042
rank 0: round 300 ok checksum=893067
rank 0: round 325 ok checksum=1020217
rank 0: round 350 ok checksum=1155492
rank 0: round 375 ok checksum=1298892
rank 0: round 400 ok checksum=1450417
rank 0: round 425 ok checksum=1610067
rank 0: round 450 ok checksum=1777842
rank 0: round 475 ok checksum=1953742
rank 0: round 500 ok checksum=2137767
rank 0: round 525 ok checksum=2329917
rank 0: round 550 ok checksum=2530192
rank 0: round 575 ok checksum=2738592
rank 0: round 600 ok checksum=2955117
rank 0: round 625 ok checksum=3179767
rank 0: round 650 ok checksum=3412542
rank 0: round 675 ok checksum=3653442
rank 0: round 700 ok checksum=3902467
rank 0: round 725 ok checksum=4159617
rank 0: round 750 ok checksum=4424892
rank 0: round 775 ok checksum=4698292
rank 0: round 800 ok checksum=4979817
rank 0: round 825 ok checksum=5269467
rank 0: round 850 ok checksum=5567242
rank 0: round 875 ok checksum=5873142
rank 0: round 900 ok checksum=6187167
rank 0: round 925 ok checksum=6509317
rank 0: round 950 ok checksum=6839592
rank 0: round 975 ok checksum=7177992
rank 0: round 1000 ok checksum=7524517
rank 0: round 1025 ok checksum=7879167
rank 0: round 1050 ok checksum=8241942
rank 0: round 1075 ok checksum=8612842
rank 0: round 1100 ok checksum=8991867
rank 0: round 1125 ok checksum=9379017
rank 0: round 1150 ok checksum=9774292
rank 0: round 1175 ok checksum=10177692
rank 0: round 1200 ok checksum=10589217
rank 0: round 1225 ok checksum=11008867
rank 0: round 1250 ok checksum=11436642
rank 0: round 1275 ok checksum=11872542
rank 0: round 1300 ok checksum=12316567
rank 0: round 1325 ok checksum=12768717
rank 0: round 1350 ok checksum=13228992
rank 0: round 1375 ok checksum=13697392
rank 0: round 1400 ok checksum=14173917
rank 0: round 1425 ok checksum=14658567
rank 0: round 1450 ok checksum=15151342
rank 0: round 1475 ok checksum=15652242
rank 0: round 1500 ok checksum=16161267
rank 0: round 1525 ok checksum=16678417
rank 0: round 1550 ok checksum=17203692
rank 0: round 1575 ok checksum=17737092
rank 0: round 1600 ok checksum=18278617
rank 0: round 1625 ok checksum=18828267
rank 0: round 1650 ok checksum=19386042
rank 0: round 1675 ok checksum=19951942
rank 0: round 1700 ok checksum=20525967
rank 0: round 1725 ok checksum=21108117
rank 0: round 1750 ok checksum=21698392
rank 0: round 1775 ok checksum=22296792
rank 0: round 1800 ok checksum=22903317
rank 0: round 1825 ok checksum=23517967
rank 0: round 1850 ok checksum=24140742
rank 0: round 1875 ok checksum=24771642
rank 0: round 1900 ok checksum=25410667
rank 0: round 1925 ok checksum=26057817
rank 0: round 1950 ok checksum=26713092
rank 0: round 1975 ok checksum=27376492
rank 0: round 2000 ok checksum=28048017
rank 0: round 2025 ok checksum=28727667
rank 0: round 2050 ok checksum=29415442
rank 0: round 2075 ok checksum=30111342
rank 0: round 2100 ok checksum=30815367
rank 0: round 2125 ok checksum=31527517
rank 0: round 2150 ok checksum=32247792
rank 0: round 2175 ok checksum=32976192
rank 0: round 2200 ok checksum=33712717
rank 0: round 2225 ok checksum=34457367
rank 0: round 2250 ok checksum=35210142
rank 0: round 2275 ok checksum=35971042
rank 0: round 2300 ok checksum=36740067
rank 0: round 2325 ok checksum=37517217
rank 0: round 2350 ok checksum=38302492
rank 0: round 2375 ok checksum=39095892
rank 0: round 2400 ok checksum=39897417
rank 0: round 2425 ok checksum=40707067
rank 0: round 2450 ok checksum=41524842
rank 0: round 2475 ok checksum=42350742
rank 0: round 2500 ok checksum=43184767
rank 0: round 2525 ok checksum=44026917
rank 0: round 2550 ok checksum=44877192
rank 0: round 2575 ok checksum=45735592
rank 0: round 2600 ok checksum=46602117
rank 0: round 2625 ok checksum=47476767
rank 0: round 2650 ok checksum=48359542
rank 0: round 2675 ok checksum=49250442
rank 0: round 2700 ok checksum=50149467
rank 0: round 2725 ok checksum=51056617
rank 0: round 2750 ok checksum=51971892
rank 0: round 2775 ok checksum=52895292
rank 0: round 2800 ok checksum=53826817
rank 0: round 2825 ok checksum=54766467
rank 0: round 2850 ok checksum=55714242
rank 0: round 2875 ok checksum=56670142
rank 0: round 2900 ok checksum=57634167
rank 0: round 2925 ok checksum=58606317
rank 0: round 2950 ok checksum=59586592
rank 0: round 2975 ok checksum=60574992
rank 0: DONE rounds=3000 checksum=61531500
