rank 1: start pid=481602 shape=baseline
rank 1: round 0 ok checksum=105
rank 1: round 25 ok checksum=6305
rank 1: round 50 ok checksum=19380
rank 1: round 75 ok checksum=39330
rank 1: round 100 ok checksum=66155
rank 1: round 125 ok checksum=99855
rank 1: round 150 ok checksum=140430
rank 1: round 175 ok checksum=187880
rank 1: round 200 ok checksum=242205
rank 1: round 225 ok checksum=303405
rank 1: round 250 ok checksum=371480
rank 1: round 275 ok checksum=446430
rank 1: round 300 ok checksum=528255
rank 1: round 325 ok checksum=616955
rank 1: round 350 ok checksum=712530
rank 1: round 375 ok checksum=814980
rank 1: round 400 ok checksum=924305
rank 1: round 425 ok checksum=1040505
rank 1: round 450 ok checksum=1163580
rank 1: round 475 ok checksum=1293530
rank 1: round 500 ok checksum=1430355
rank 1: round 525 ok checksum=1574055
rank 1: round 550 ok checksum=1724630
rank 1: round 575 ok checksum=1882080
rank 1: round 600 ok checksum=2046405
rank 1: round 625 ok checksum=2217605
rank 1: round 650 ok checksum=2395680
rank 1: round 675 ok checksum=2580630
rank 1: round 700 ok checksum=2772455
rank 1: round 725 ok checksum=2971155
rank 1: round 750 ok checksum=3176730
rank 1: round 775 ok checksum=3389180
rank 1: round 800 ok checksum=3608505
rank 1: round 825 ok checksum=3834705
rank 1: round 850 ok checksum=4067780
rank 1: round 875 ok checksum=4307730
rank 1: round 900 ok checksum=4554555
rank 1: round 925 ok checksum=4808255
rank 1: round 950 ok checksum=5068830
rank 1: round 975 ok checksum=5336280
rank 1: round 1000 ok checksum=5610605
rank 1: round 1025 ok checksum=5891805
rank 1: round 1050 ok checksum=6179880
rank 1: round 1075 ok checksum=6474830
rank 1: round 1100 ok checksum=6776655
rank 1: round 1125 ok checksum=7085355
rank 1: round 1150 ok checksum=7400930
rank 1: round 1175 ok checksum=7723380
rank 1: round 1200 ok checksum=8052705
rank 1: round 1225 ok checksum=8388905
rank 1: round 1250 ok checksum=8731980
rank 1: round 1275 ok checksum=9081930
rank 1: round 1300 ok checksum=9438755
rank 1: round 1325 ok checksum=9802455
rank 1: round 1350 ok checksum=10173030
rank 1: round 1375 ok checksum=10550480
rank 1: round 1400 ok checksum=10934805
rank 1: round 1425 ok checksum=11326005
rank 1: round 1450 ok checksum=11724080
rank 1: round 1475 ok checksum=12129030
rank 1: round 1500 ok checksum=12540855
rank 1: round 1525 ok checksum=12959555
rank 1: round 1550 ok checksum=13385130
rank 1: round 1575 ok checksum=13817580
rank 1: round 1600 ok checksum=14256905
rank 1: round 1625 ok checksum=14703105
rank 1: round 1650 ok checksum=15156180
rank 1: round 1675 ok checksum=15616130
rank 1: round 1700 ok checksum=16082955
rank 1: round 1725 ok checksum=16556655
rank 1: round 1750 ok checksum=17037230
rank 1: round 1775 ok checksum=17524680
rank 1: round 1800 ok checksum=18019005
rank 1: round 1825 ok checksum=18520205
rank 1: round 1850 ok checksum=19028280
rank 1: round 1875 ok checksum=19543230
rank 1: round 1900 ok checksum=20065055
rank 1: round 1925 ok checksum=20593755
